,Close
2014-12-29/2015-01-04,16.083999633789062
2015-01-05/2015-01-11,16.063999938964844
2015-01-12/2015-01-18,15.451333236694335
2015-01-19/2015-01-25,15.402666664123535
2015-01-26/2015-02-01,15.225555419921875
2015-02-02/2015-02-08,15.933333587646484
2015-02-09/2015-02-15,16.36333312988281
2015-02-16/2015-02-22,16.7033332824707
2015-02-23/2015-03-01,16.843888600667317
2015-03-02/2015-03-08,16.900666427612304
2015-03-09/2015-03-15,16.66133346557617
2015-03-16/2015-03-22,16.80799980163574
2015-03-23/2015-03-29,16.594000244140624
2015-03-30/2015-04-05,16.821332931518555
2015-04-06/2015-04-12,16.748666763305664
2015-04-13/2015-04-19,16.534666442871092
2015-04-20/2015-04-26,16.28199996948242
2015-04-27/2015-05-03,16.28133316040039
2015-05-04/2015-05-10,16.56400032043457
2015-05-11/2015-05-17,16.979999923706053
2015-05-18/2015-05-24,17.384666442871094
2015-05-25/2015-05-31,17.379999923706055
2015-06-01/2015-06-07,17.126667022705078
2015-06-08/2015-06-14,16.850666809082032
2015-06-15/2015-06-21,16.90999984741211
2015-06-22/2015-06-28,16.704000091552736
2015-06-29/2015-07-05,16.288666915893554
2015-07-06/2015-07-12,16.344000244140624
2015-07-13/2015-07-19,17.118667221069337
2015-07-20/2015-07-26,17.207333374023438
2015-07-27/2015-08-02,16.99166711171468
2015-08-03/2015-08-09,17.370000076293945
2015-08-10/2015-08-16,17.8526668548584
2015-08-17/2015-08-23,17.80799980163574
2015-08-24/2015-08-30,16.730667114257812
2015-08-31/2015-09-06,16.89599952697754
2015-09-07/2015-09-13,17.086000061035158
2015-09-14/2015-09-20,17.09066696166992
2015-09-21/2015-09-27,17.307333755493165
2015-09-28/2015-10-04,17.494000244140626
2015-10-05/2015-10-11,17.810666275024413
2015-10-12/2015-10-18,18.086000061035158
2015-10-19/2015-10-25,18.956666946411133
2015-10-26/2015-11-01,19.535000165303547
2015-11-02/2015-11-08,19.5993335723877
2015-11-09/2015-11-15,19.26933364868164
2015-11-16/2015-11-22,19.521333312988283
2015-11-23/2015-11-29,19.566000366210936
2015-11-30/2015-12-06,19.451333618164064
2015-12-07/2015-12-13,18.898666763305663
2015-12-14/2015-12-20,18.78333282470703
2015-12-21/2015-12-27,19.229333496093748
2015-12-28/2016-01-03,19.589999389648437
2016-01-04/2016-01-10,18.938666534423827
2016-01-11/2016-01-17,18.971333312988282
2016-01-18/2016-01-24,18.91800003051758
2016-01-25/2016-01-31,19.62133331298828
2016-02-01/2016-02-07,20.327333068847658
2016-02-08/2016-02-14,20.25733337402344
2016-02-15/2016-02-21,20.782666778564455
2016-02-22/2016-02-28,21.247332763671874
2016-02-29/2016-03-06,21.47933349609375
2016-03-07/2016-03-13,21.695333862304686
2016-03-14/2016-03-20,22.055999755859375
2016-03-21/2016-03-27,21.55799980163574
2016-03-28/2016-04-03,21.859333419799803
2016-04-04/2016-04-10,21.559333419799806
2016-04-11/2016-04-17,21.29933319091797
2016-04-18/2016-04-24,21.349333190917967
2016-04-25/2016-05-01,21.054999669392902
2016-05-02/2016-05-08,21.00599975585937
